team1,team2,toss_winner,toss_decision,winner
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders
